problem,rtol,custom_time_ns,scipy_time_ns,custom_steps,scipy_steps,l2_error,max_error,speedup
exponential,0.001,203834,924834,1000,1000,0.0,0.0,4.537192028807755
exponential,1e-06,138041,360250,1000,1000,0.0,0.0,2.609731891249701
exponential,1e-07,114292,329958,1000,1000,0.0,0.0,2.8869737164455955
harmonic,0.001,177125,793167,1000,1000,0.0471272853328435,0.002642524016883363,4.478007057163021
harmonic,1e-06,173334,2217500,1000,1000,0.00011879982932724572,8.031757356530278e-06,12.793220026076822
harmonic,1e-07,189292,3145500,1000,1000,1.919276449458792e-05,1.1863761287811414e-06,16.617184033133995
damped harmonic,0.001,1342834,2209125,1000,1000,0.0332144526073613,0.0021354626991694214,1.6451214371992369
damped harmonic,1e-06,296583,2617792,1000,1000,9.54819723694502e-05,7.6153602912576446e-06,8.826507250921328
damped harmonic,1e-07,314125,4182083,1000,1000,1.5223800354597887e-05,1.151303693158745e-06,13.313435734182253
forced,0.001,238125,992250,1000,1000,0.13369212767394897,0.007938228040698991,4.166929133858268
forced,1e-06,170959,2389958,1000,1000,0.00036775210943387613,2.7344578001464726e-05,13.979714434455044
forced,1e-07,194167,3479292,1000,1000,5.646183822216729e-05,4.243774850420934e-06,17.91906966683319
logistic,0.001,124125,251792,1000,1000,3.1279533895638675e-08,2.3620945199809285e-09,2.0285357502517622
logistic,1e-06,98542,242916,1000,1000,3.177959880884039e-08,2.4109121365967212e-09,2.4651011751334457
logistic,1e-07,90542,219041,1000,1000,3.167764814753738e-08,2.4005977206087437e-09,2.419219809591129
van der pol,0.001,169250,894875,1000,1000,0.4253654471895912,0.03082539828272668,5.287296898079764
van der pol,1e-06,173250,2395917,1000,1000,0.0008776778639877906,0.00010436310118122627,13.829246753246753
van der pol,1e-07,194416,3277500,1000,1000,0.00014161581020772303,1.6222276361332888e-05,16.85818039667517
